JUDET,UAT
AR,LIVADA
AR,MACEA
AR,MIŞCA
AR,MONEASA
AR,MUNICIPIUL ARAD
AR,OLARI
AR,ORAŞ CHIŞINEU-CRIŞ
AR,ORAŞ CURTICI
AR,ORAŞ INEU
AR,ORAŞ LIPOVA
AR,ORAŞ NĂDLAC
AR,ORAŞ PECICA
AR,ORAŞ PÂNCOTA
AR,ORAŞ SEBIŞ
AR,ORAŞ SÂNTANA
AR,PEREGU MARE
AR,PETRIŞ
AR,PILU
AR,PLEŞCUŢA
AR,PĂULIŞ
AR,SECUSIGIU
AR,SELEUŞ
AR,SEMLAC
AR,SINTEA MARE
AR,SOCODOR
AR,SĂVÂRŞIN
AR,TAUŢ
AR,TÂRNOVA
AR,USUSĂU
AR,VINGA
AR,VLADIMIRESCU
AR,VÂRFURILE
AR,VĂRĂDIA DE MUREŞ
AR,ZERIND
AR,ZIMANDU NOU
AR,ZĂBRANI
AR,ZĂDĂRENI
AR,ZĂRAND
AR,ŞAGU
AR,ŞEITIN
AR,ŞEPREUŞ
AR,ŞICULA
AR,ŞILINDIA
AR,ŞIMAND
AR,ŞIRIA
AR,ŞIŞTAROVĂŢ
AR,ŞOFRONEA
B,BUCUREŞTI SECTORUL 1
B,BUCUREŞTI SECTORUL 2
B,BUCUREŞTI SECTORUL 3
B,BUCUREŞTI SECTORUL 4
B,BUCUREŞTI SECTORUL 5
B,BUCUREŞTI SECTORUL 6
BC,AGĂŞ
BC,ARDEOANI
BC,ASĂU
BC,BALCANI
BC,BEREŞTI-BISTRIŢA
BC,BEREŞTI-TAZLĂU
BC,BERZUNŢI
BC,BLĂGEŞTI
BC,BOGDĂNEŞTI
BC,BRUSTUROASA
BC,BUCIUMI
BC,BUHOCI
BC,BÂRSĂNEŞTI
BC,CAŞIN
BC,CLEJA
BC,COLONEŞTI
BC,CORBASCA
BC,COŢOFĂNEŞTI
BC,CĂIUŢI
BC,DEALU MORII
BC,DOFTEANA
BC,DĂMIENEŞTI
BC,FARAOANI
BC,FILIPENI
BC,FILIPEŞTI
BC,GHIMEŞ-FĂGET
BC,GIOSENI
BC,GLĂVĂNEŞTI
BC,GURA VĂII
BC,GÂRLENI
BC,GĂICEANA
BC,HELEGIU
BC,HEMEIUŞ
BC,HORGEŞTI
BC,HURUIEŞTI
BC,ITEŞTI
BC,IZVORU BERHECIULUI
BC,LETEA VECHE
BC,LIPOVA
BC,LIVEZI
BC,LUIZI-CĂLUGĂRA
BC,MOTOŞENI
BC,MUNICIPIUL BACĂU
BC,MUNICIPIUL MOINEŞTI
BC,MUNICIPIUL ONEŞTI
BC,MĂGIREŞTI
BC,MĂGURA
BC,MĂNĂSTIREA CAŞIN
BC,MĂRGINENI
BC,NEGRI
BC,NICOLAE BĂLCESCU
BC,ODOBEŞTI
BC,OITUZ
BC,ONCEŞTI
BC,ORAŞ BUHUŞI
BC,ORAŞ COMĂNEŞTI
BC,ORAŞ DĂRMĂNEŞTI
BC,ORAŞ SLĂNIC-MOLDOVA
BC,ORAŞ TÂRGU OCNA
BC,ORBENI
BC,PALANCA
BC,PARAVA
BC,PARINCEA
BC,PLOPANA
BC,PODU TURCULUI
BC,PODURI
BC,PRĂJEŞTI
BC,PÂNCEŞTI
BC,PÂRGĂREŞTI
BC,PÂRJOL
BC,RACOVA
BC,ROŞIORI
BC,RĂCHITOASA
BC,RĂCĂCIUNI
BC,SASCUT
BC,SCORŢENI
BC,SECUIENI
BC,SOLONŢ
BC,STRUGARI
BC,STĂNIŞEŞTI
BC,SĂNDULENI
BC,SĂRATA
BC,SĂUCEŞTI
BC,TAMAŞI
BC,TRAIAN
BC,TÂRGU TROTUŞ
BC,TĂTĂRĂŞTI
BC,UNGURENI
BC,URECHEŞTI
BC,VALEA SEACĂ
BC,VULTURENI
BC,ZEMEŞ
BC,ŞTEFAN CEL MARE
BH,ABRAM
BH,AUŞEU
BH,AVRAM IANCU
BH,AŞTILEU
BH,BALC
BH,BATĂR
BH,BIHARIA
BH,BOIANU MARE
BH,BOROD
BH,BORŞ
BH,BRATCA
BH,BRUSTURI
BH,BUDUREASA
BH,BUDUSLĂU
BH,BULZ
BH,BUNTEŞTI
BH,CEFA
BH,CEICA
BH,CETARIU
BH,CHERECHIU
BH,CHIŞLAZ
BH,CIUMEGHIU
BH,COCIUBA MARE
BH,COPĂCEL
BH,CRIŞTIORU DE JOS
BH,CURTUIŞENI
BH,CURĂŢELE
BH,CÂMPANI
BH,CĂBEŞTI
BH,CĂPÂLNA
BH,CĂRPINET
BH,DERNA
BH,DIOSIG
BH,DOBREŞTI
BH,DRĂGEŞTI
BH,DRĂGĂNEŞTI
BH,FINIŞ
BH,GEPIU
BH,GIRIŞU DE CRIŞ
BH,HIDIŞELU DE SUS
BH,HOLOD
BH,HUSASĂU DE TINCA
BH,INEU
BH,LAZURI DE BEIUŞ
BH,LUGAŞU DE JOS
BH,LUNCA
BH,LĂZĂRENI
BH,MUNICIPIUL BEIUŞ
BH,MUNICIPIUL MARGHITA
BH,MUNICIPIUL ORADEA
BH,MUNICIPIUL SALONTA
BH,MĂDĂRAS
BH,MĂGEŞTI
BH,NOJORID
BH,OLCEA
BH,ORAŞ ALEŞD
BH,ORAŞ NUCET
BH,ORAŞ SĂCUENI
BH,ORAŞ VALEA LUI MIHAI
BH,ORAŞ VAŞCĂU
BH,ORAŞ ŞTEI
BH,OŞORHEI
BH,PALEU
BH,PETREU
BH,PIETROASA
BH,POCOLA
BH,POMEZEU
BH,POPEŞTI
BH,REMETEA
BH,RIENI
BH,ROŞIA
BH,ROŞIORI
BH,RĂBĂGANI
BH,SPINUŞ
BH,SUPLACU DE BARCĂU
BH,SÂMBĂTA
BH,SÂNIOB
BH,SÂNMARTIN
BH,SÂNNICOLAU ROMÂN
BH,SÂNTANDREI
BH,SÂRBI
BH,SĂCĂDAT
BH,SĂLACEA
BH,SĂLARD
BH,TARCEA
BH,TILEAGD
BH,TINCA
BH,TOBOLIU
BH,TULCA
BH,TĂMĂŞEU
BH,TĂRCAIA
BH,TĂUTEU
BH,UILEACU DE BEIUŞ
BH,VADU CRIŞULUI
BH,VIIŞOARA
BH,VÂRCIOROG
BH,ŞIMIAN
BH,ŞINTEU
BH,ŞOIMI
BH,ŞUNCUIUŞ
BH,ŢEŢCHEA
BN,BISTRIŢA BÂRGĂULUI
BN,BRANIŞTEA
BN,BUDACU DE JOS
BN,BUDEŞTI
BN,CETATE
BN,CHIOCHIŞ
BN,CHIUZA
BN,CICEU-GIURGEŞTI
BN,CICEU-MIHĂIEŞTI
BN,COŞBUC
BN,CĂIANU MIC
BN,DUMITRA
BN,DUMITRIŢA
BN,FELDRU
BN,GALAŢII BISTRIŢEI
BN,ILVA MARE
BN,ILVA MICĂ
BN,JOSENII BÂRGĂULUI
BN,LECHINŢA
BN,LEŞU
BN,LIVEZILE
BN,LUNCA ILVEI
BN,MAIERU
BN,MATEI
BN,MICEŞTII DE CÂMPIE
BN,MILAŞ
BN,MONOR
BN,MUNICIPIUL BISTRIŢA
BN,MĂGURA ILVEI
BN,MĂRIŞELU
BN,NEGRILEŞTI
BN,NIMIGEA
BN,NUŞENI
BN,ORAŞ BECLEAN
BN,ORAŞ NĂSĂUD
BN,ORAŞ SÂNGEORZ-BĂI
BN,PARVA
BN,PETRU RAREŞ
BN,POIANA ILVEI
BN,PRUNDU BÂRGĂULUI
BN,REBRA
BN,REBRIŞOARA
BN,RODNA
BN,ROMULI
BN,RUNCU SALVEI
BN,SALVA
BN,SILIVAŞU DE CÂMPIE
BN,SPERMEZEU
BN,SÂNMIHAIU DE CÂMPIE
BN,TEACA
BN,TELCIU
BN,TIHA BÂRGĂULUI
BN,TÂRLIŞUA
BN,URIU
BN,URMENIŞ
BN,ZAGRA
BN,ŞANŢ
BN,ŞIEU
BN,ŞIEU-MĂGHERUŞ
BN,ŞIEU-ODORHEI
BN,ŞIEUŢ
BN,ŞINTEREAG
BR,BERTEŞTII DE JOS
BR,BORDEI VERDE
BR,BĂRĂGANUL
BR,CAZASU
BR,CHISCANI
BR,CIOCILE
BR,CIREŞU
BR,DUDEŞTI
BR,FRECĂŢEI
BR,GALBENU
BR,GEMENELE
BR,GROPENI
BR,GRĂDIŞTEA
BR,JIRLĂU
BR,MIRCEA VODĂ
BR,MOVILA MIRESII
BR,MUNICIPIUL BRĂILA
BR,MĂRAŞU
BR,MĂXINENI
BR,ORAŞ FĂUREI
BR,ORAŞ IANCA
BR,ORAŞ ÎNSURĂŢEI
BR,RACOVIŢA
BR,ROMANU
BR,ROŞIORI
BR,RÂMNICELU
BR,SALCIA TUDOR
BR,SCORŢARU NOU
BR,SILIŞTEA
BR,STĂNCUŢA
BR,SURDILA-GRECI
BR,SURDILA-GĂISEANCA
BR,TICHILEŞTI
BR,TRAIAN
BR,TUDOR VLADIMIRESCU
BR,TUFEŞTI
BR,ULMU
BR,UNIREA
BR,VICTORIA
BR,VIZIRU
BR,VIŞANI
BR,VĂDENI
BR,ZĂVOAIA
BR,ŞUŢEŞTI
BT,ADĂŞENI
BT,ALBEŞTI
BT,AVRĂMENI
BT,BLÂNDEŞTI
BT,BROSCĂUŢI
BT,BRĂEŞTI
BT,BĂLUŞENI
BT,CONCEŞTI
BT,COPĂLĂU
BT,CORDĂRENI
BT,CORLĂTENI
BT,CORNI
BT,COŞULA
BT,COŢUŞCA
BT,CRISTEŞTI
BT,CRISTINEŞTI
BT,CURTEŞTI
BT,CÂNDEŞTI
BT,CĂLĂRAŞI
BT,DERSCA
BT,DIMĂCHENI
BT,DOBÂRCENI
BT,DRĂGUŞENI
BT,DURNEŞTI
BT,DÂNGENI
BT,FRUMUŞICA
BT,GEORGE ENESCU
BT,GORBĂNEŞTI
BT,HAVÂRNA
BT,HILIŞEU-HORIA
BT,HLIPICENI
BT,HUDEŞTI
BT,HĂNEŞTI
BT,IBĂNEŞTI
BT,LEORDA
BT,LOZNA
BT,LUNCA
BT,MANOLEASA
BT,MIHAI EMINESCU
BT,MIHĂILENI
BT,MIHĂLĂŞENI
BT,MILEANCA
BT,MITOC
BT,MUNICIPIUL BOTOŞANI
BT,MUNICIPIUL DOROHOI
BT,NICŞENI
BT,ORAŞ BUCECEA
BT,ORAŞ DARABANI
BT,ORAŞ FLĂMÂNZI
BT,ORAŞ SĂVENI
BT,ORAŞ ŞTEFĂNEŞTI
BT,POMÂRLA
BT,PRĂJENI
BT,PĂLTINIŞ
BT,RIPICENI
BT,ROMA
BT,ROMÂNEŞTI
BT,RĂCHIŢI
BT,RĂDĂUŢI-PRUT
BT,RĂUSENI
BT,SANTA MARE
BT,STĂUCENI
BT,SUHARĂU
BT,SULIŢA
BT,TODIRENI
BT,TRUŞEŞTI
BT,TUDORA
BT,UNGURENI
BT,UNŢENI
BT,VIIŞOARA
BT,VLĂDENI
BT,VLĂSINEŞTI
BT,VORNICENI
BT,VORONA
BT,VÂRFU CÂMPULUI
BT,VĂCULEŞTI
BT,ŞENDRICENI
BT,ŞTIUBIENI
BV,APAŢA
BV,AUGUSTIN
BV,BECLEAN
BV,BOD
BV,BRAN
BV,BUDILA
BV,BUNEŞTI
BV,CAŢA
BV,CINCU
BV,COMANA
BV,CRISTIAN
BV,CRIZBAV
BV,DRĂGUŞ
BV,DUMBRĂVIŢA
BV,FELDIOARA
BV,FUNDATA
BV,HOGHIZ
BV,HOLBAV
BV,HOMOROD
BV,HÂRSENI
BV,HĂLCHIU
BV,HĂRMAN
BV,JIBERT
BV,LISA
BV,MOIECIU
BV,MUNICIPIUL BRAŞOV
BV,MUNICIPIUL CODLEA
BV,MUNICIPIUL FĂGĂRAŞ
BV,MUNICIPIUL SĂCELE
BV,MÂNDRA
BV,MĂIERUŞ
BV,ORAŞ GHIMBAV
BV,ORAŞ PREDEAL
BV,ORAŞ RUPEA
BV,ORAŞ RÂŞNOV
BV,ORAŞ VICTORIA
BV,ORAŞ ZĂRNEŞTI
BV,ORMENIŞ
BV,POIANA MĂRULUI
BV,PREJMER
BV,PĂRĂU
BV,RACOŞ
BV,RECEA
BV,SÂMBĂTA DE SUS
BV,SÂNPETRU
BV,TELIU
BV,TICUŞU
BV,TĂRLUNGENI
BV,UCEA
BV,UNGRA
BV,VAMA BUZĂULUI
BV,VIŞTEA
BV,VOILA
BV,VULCAN
BV,ŞERCAIA
BV,ŞINCA
BV,ŞINCA NOUĂ
BV,ŞOARŞ
BZ,AMARU
BZ,BALTA ALBĂ
BZ,BECENI
BZ,BERCA
BZ,BISOCA
BZ,BLĂJANI
BZ,BOLDU
BZ,BOZIORU
BZ,BREAZA
BZ,BRĂDEANU
BZ,BRĂEŞTI
BZ,BUDA
BZ,BĂLĂCEANU
BZ,C.A. ROSETTI
BZ,CALVINI
BZ,CERNĂTEŞTI
BZ,CHILIILE
BZ,CHIOJDU
BZ,CILIBIA
BZ,CISLĂU
BZ,COCHIRLEANCA
BZ,COLŢI
BZ,COSTEŞTI
BZ,COZIENI
BZ,CĂNEŞTI
BZ,CĂTINA
BZ,FLORICA
BZ,GHERGHEASA
BZ,GHERĂSENI
BZ,GLODEANU SĂRAT
BZ,GLODEANU-SILIŞTEA
BZ,GREBĂNU
BZ,GURA TEGHII
BZ,GĂLBINAŞI
BZ,LARGU
BZ,LOPĂTARI
BZ,LUCIU
BZ,MEREI
BZ,MIHĂILEŞTI
BZ,MOVILA BANULUI
BZ,MUNICIPIUL BUZĂU
BZ,MUNICIPIUL RÂMNICU SĂRAT
BZ,MURGEŞTI
BZ,MÂNZĂLEŞTI
BZ,MĂGURA
BZ,MĂRGĂRITEŞTI
BZ,MĂRĂCINENI
BZ,NĂENI
BZ,ODĂILE
BZ,ORAŞ NEHOIU
BZ,ORAŞ POGOANELE
BZ,ORAŞ PĂTÂRLAGELE
BZ,PADINA
BZ,PARDOŞI
BZ,PIETROASELE
BZ,PODGORIA
BZ,POŞTA CÂLNĂU
BZ,PUIEŞTI
BZ,PÂRSCOV
BZ,PĂNĂTĂU
BZ,RACOVIŢENI
BZ,ROBEASCA
BZ,RUŞEŢU
BZ,RÂMNICELU
BZ,SCORŢOASA
BZ,SCUTELNICI
BZ,SIRIU
BZ,SMEENI
BZ,STÂLPU
BZ,SĂGEATA
BZ,SĂHĂTENI
BZ,SĂPOCA
BZ,SĂRULEŞTI
BZ,TISĂU
BZ,TOPLICENI
BZ,ULMENI
BZ,UNGURIU
BZ,VADU PAŞII
BZ,VALEA RÂMNICULUI
BZ,VALEA SALCIEI
BZ,VERNEŞTI
BZ,VINTILĂ VODĂ
BZ,VIPEREŞTI
BZ,VÂLCELELE
BZ,ZIDURI
BZ,ZĂRNEŞTI
BZ,ŢINTEŞTI
CJ,AGHIREŞU
CJ,AITON
CJ,ALUNIŞ
CJ,APAHIDA
CJ,AŞCHILEU
CJ,BACIU
CJ,BELIŞ
CJ,BOBÂLNA
CJ,BONŢIDA
CJ,BORŞA
CJ,BUZA
CJ,BĂIŞOARA
CJ,CEANU MARE
CJ,CHINTENI
CJ,CHIUIEŞTI
CJ,CIUCEA
CJ,CIURILA
CJ,COJOCNA
CJ,CORNEŞTI
CJ,CUZDRIOARA
CJ,CÂŢCĂU
CJ,CĂIANU
CJ,CĂLĂRAŞI
CJ,CĂLĂŢELE
CJ,CĂMĂRAŞU
CJ,CĂPUŞU MARE
CJ,CĂTINA
CJ,CĂŞEIU
CJ,DĂBÂCA
CJ,FELEACU
CJ,FIZEŞU GHERLII
CJ,FLOREŞTI
CJ,FRATA
CJ,GEACA
CJ,GILĂU
CJ,GÂRBĂU
CJ,IARA
CJ,ICLOD
CJ,IZVORU CRIŞULUI
CJ,JICHIŞU DE JOS
CJ,JUCU
CJ,LUNA
CJ,MICA
CJ,MIHAI VITEAZU
CJ,MINTIU GHERLII
CJ,MOCIU
CJ,MOLDOVENEŞTI
CJ,MUNICIPIUL CLUJ-NAPOCA
CJ,MUNICIPIUL CÂMPIA TURZII
CJ,MUNICIPIUL DEJ
CJ,MUNICIPIUL GHERLA
CJ,MUNICIPIUL TURDA
CJ,MĂGURI-RĂCĂTĂU
CJ,MĂNĂSTIRENI
CJ,MĂRGĂU
CJ,MĂRIŞEL
CJ,NEGRENI
CJ,ORAŞ HUEDIN
CJ,PANTICEU
CJ,PETREŞTII DE JOS
CJ,PLOSCOŞ
CJ,POIENI
CJ,PĂLATCA
CJ,RECEA-CRISTUR
CJ,RIŞCA
CJ,SIC
CJ,SUATU
CJ,SÂNCRAIU
CJ,SÂNMĂRTIN
CJ,SÂNPAUL
CJ,SĂCUIEU
CJ,SĂNDULEŞTI
CJ,SĂVĂDISLA
CJ,TRITENII DE JOS
CJ,TURENI
CJ,UNGURAŞ
CJ,VAD
CJ,VALEA IERII
CJ,VIIŞOARA
CJ,VULTURENI
CJ,ŢAGA
CL,ALEXANDRU ODOBESCU
CL,BELCIUGATELE
CL,BORCEA
CL,CHIRNOGI
CL,CHISELET
CL,CIOCĂNEŞTI
CL,CRIVĂŢ
CL,CURCANI
CL,CUZA VODĂ
CL,CĂSCIOARELE
CL,DICHISENI
CL,DOR MĂRUNT
CL,DOROBANŢU
CL,DRAGALINA
CL,DRAGOŞ VODĂ
CL,FRUMUŞANI
CL,FRĂSINET
CL,FUNDENI
CL,GRĂDIŞTEA
CL,GURBĂNEŞTI
CL,GĂLBINAŞI
CL,ILEANA
CL,INDEPENDENŢA
CL,JEGĂLIA
CL,LEHLIU
CL,LUICA
CL,LUPŞANU
CL,MITRENI
CL,MODELU
CL,MUNICIPIUL CĂLĂRAŞI
CL,MUNICIPIUL OLTENIŢA
CL,MÂNĂSTIREA
CL,NANA
CL,NICOLAE BĂLCESCU
CL,ORAŞ BUDEŞTI
CL,ORAŞ FUNDULEA
CL,ORAŞ LEHLIU-GARĂ
CL,PERIŞORU
CL,PLĂTĂREŞTI
CL,RADOVANU
CL,ROSEŢI
CL,SOHATU
CL,SPANŢOV
CL,SĂRULEŞTI
CL,TĂMĂDĂU MARE
CL,ULMENI
CL,ULMU
CL,UNIREA
CL,VALEA ARGOVEI
CL,VASILAŢI
CL,VLAD ŢEPEŞ
CL,VÂLCELELE
CL,ŞOLDANU
CL,ŞTEFAN CEL MARE
CL,ŞTEFAN VODĂ
CS,ARMENIŞ
CS,BERLIŞTE
CS,BERZASCA
CS,BERZOVIA
CS,BOLVAŞNIŢA
CS,BOZOVICI
CS,BREBU
CS,BREBU NOU
CS,BUCHIN
CS,BUCOŞNIŢA
CS,BĂNIA
CS,BĂUŢAR
CS,CARAŞOVA
CS,CICLOVA ROMÂNĂ
CS,CIUCHICI
CS,CIUDANOVIŢA
CS,CONSTANTIN DAICOVICIU
CS,COPĂCELE
CS,CORNEA
CS,CORNEREVA
CS,CORONINI
CS,CĂRBUNARI
CS,DALBOŞEŢ
CS,DOCLIN
CS,DOGNECEA
CS,DOMAŞNEA
CS,EFTIMIE MURGU
CS,EZERIŞ
CS,FOROTIC
CS,FÂRLIUG
CS,GLIMBOCA
CS,GORUIA
CS,GRĂDINARI
CS,GÂRNIC
CS,IABLANIŢA
CS,LUNCAVIŢA
CS,LUPAC
CS,LĂPUŞNICEL
CS,LĂPUŞNICU MARE
CS,MARGA
CS,MEHADIA
CS,MEHADICA
CS,MUNICIPIUL CARANSEBEŞ
CS,MUNICIPIUL REŞIŢA
CS,MĂURENI
CS,NAIDĂŞ
CS,OBREJA
CS,OCNA DE FIER
CS,ORAŞ ANINA
CS,ORAŞ BOCŞA
CS,ORAŞ BĂILE HERCULANE
CS,ORAŞ MOLDOVA NOUĂ
CS,ORAŞ ORAVIŢA
CS,ORAŞ OŢELU ROŞU
CS,POJEJENA
CS,PRIGOR
CS,PĂLTINIŞ
CS,RAMNA
CS,RUSCA MONTANĂ
CS,RĂCĂŞDIA
CS,SACU
CS,SASCA MONTANĂ
CS,SICHEVIŢA
CS,SLATINA-TIMIŞ
CS,SOCOL
CS,TEREGOVA
CS,TICVANIU MARE
CS,TOPLEŢ
CS,TURNU RUIENI
CS,TÂRNOVA
CS,VERMEŞ
CS,VRANI
CS,VĂLIUG
CS,VĂRĂDIA
CS,ZORLENŢU MARE
CS,ZĂVOI
CS,ŞOPOTU NOU
CT,23 AUGUST
CT,ADAMCLISI
CT,AGIGEA
CT,ALBEŞTI
CT,ALIMAN
CT,AMZACEA
CT,BĂNEASA
CT,BĂRĂGANU
CT,CASTELU
CT,CERCHEZU
CT,CHIRNOGENI
CT,CIOBANU
CT,CIOCÂRLIA
CT,COBADIN
CT,COGEALAC
CT,COMANA
CT,CORBU
CT,COSTINEŞTI
CT,CRUCEA
CT,CUMPĂNA
CT,CUZA VODĂ
CT,DELENI
CT,DOBROMIR
CT,DUMBRĂVENI
CT,FÂNTÂNELE
CT,GHINDĂREŞTI
CT,GRĂDINA
CT,GÂRLICIU
CT,HORIA
CT,INDEPENDENŢA
CT,ION CORVIN
CT,ISTRIA
CT,LIMANU
CT,LIPNIŢA
CT,LUMINA
CT,MERENI
CT,MIHAI VITEAZU
CT,MIHAIL KOGĂLNICEANU
CT,MIRCEA VODĂ
CT,MUNICIPIUL CONSTANŢA
CT,MUNICIPIUL MANGALIA
CT,MUNICIPIUL MEDGIDIA
CT,NICOLAE BĂLCESCU
CT,OLTINA
CT,ORAŞ CERNAVODĂ
CT,ORAŞ EFORIE
CT,ORAŞ HÂRŞOVA
CT,ORAŞ MURFATLAR
CT,ORAŞ NEGRU VODĂ
CT,ORAŞ NĂVODARI
CT,ORAŞ OVIDIU
CT,ORAŞ TECHIRGHIOL
CT,OSTROV
CT,PANTELIMON
CT,PECINEAGA
CT,PEŞTERA
CT,POARTA ALBĂ
CT,RASOVA
CT,SALIGNY
CT,SARAIU
CT,SEIMENI
CT,SILIŞTEA
CT,SĂCELE
CT,TOPALU
CT,TOPRAISAR
CT,TORTOMAN
CT,TUZLA
CT,TÂRGUŞOR
CT,VALU LUI TRAIAN
CT,VULTURU
CV,AITA MARE
CV,ARCUŞ
CV,BARCANI
CV,BELIN
CV,BIXAD
CV,BODOC
CV,BOROŞNEU MARE
CV,BRATEŞ
CV,BREŢCU
CV,BRĂDUŢ
CV,BĂŢANI
CV,CATALINA
CV,CERNAT
CV,CHICHIŞ
CV,COMANDĂU
CV,DALNIC
CV,DOBÂRLĂU
CV,ESTELNIC
CV,GHELINŢA
CV,GHIDFALĂU
CV,HĂGHIG
CV,ILIENI
CV,LEMNIA
CV,MALNAŞ
CV,MERENI
CV,MICFALĂU
CV,MOACŞA
CV,MUNICIPIUL SFÂNTU GHEORGHE
